Tracker;Operation;Occurrences
0;ADD_OBJ; 1888003
0;REMOVE_ALL; 3745
0;INDEX_OF; 12778
0;SET_INDEXED; 411693
0;SORT; 1705
0;CLEAR; 58035
0;GROW; 266059
0;GET_INDEXED; 4470999
0;ADD_ALL; 7310
0;SIZE; 2454288
0;TO_ARRAY; 3509
0;CSTR_COLL; 1736
0;CONTAINS; 6670
0;REMOVE_OBJ; 6
0;CSTR_CAP; 218421
0;ENSURE_CAP; 1895994
0;ITERATOR; 452834
0;EMPTY; 479317
0;CSTR_STD; 174016
0;SUBLIST; 15702
0;ADD_INDEXED; 681
0;CREATE_LIST_ITR; 22738
0;REMOVE_INDEXED; 75047
1;ADD_OBJ;0
1;SET_INDEXED;0
1;CLEAR;0
1;GROW;0
1;GET_INDEXED;25
1;SIZE;28
1;CSTR_COLL;1
1;REMOVE_OBJ;6
2;ADD_OBJ;2
2;SET_INDEXED;0
2;CLEAR;0
2;GROW;1
2;SIZE;41
2;REMOVE_OBJ;0
2;ENSURE_CAP;2
2;ITERATOR;34
2;CSTR_STD;41
3;ADD_OBJ;2916
3;SET_INDEXED;11
3;CLEAR;0
3;GROW;993
3;ADD_ALL;12
3;SIZE;635
3;TO_ARRAY;12
3;REMOVE_OBJ;0
3;ENSURE_CAP;3002
3;ITERATOR;2036
3;CSTR_STD;630
3;ADD_INDEXED;74
3;CREATE_LIST_ITR;96
4;ADD_OBJ;0
4;SET_INDEXED;0
4;CLEAR;0
4;GROW;0
4;SIZE;132
4;REMOVE_OBJ;0
4;CSTR_STD;1
5;ADD_OBJ;616
5;INDEX_OF;22
5;SET_INDEXED;0
5;SORT;277
5;CLEAR;0
5;GROW;358
5;GET_INDEXED;22
5;SIZE;576
5;REMOVE_OBJ;0
5;ENSURE_CAP;616
5;ITERATOR;277
5;CSTR_STD;277
6;ADD_OBJ;343
6;SET_INDEXED;0
6;SORT;205
6;CLEAR;0
6;GROW;208
6;GET_INDEXED;686
6;SIZE;1368
6;REMOVE_OBJ;0
6;ENSURE_CAP;343
6;ITERATOR;205
6;CSTR_STD;205
7;ADD_OBJ;96
7;SET_INDEXED;0
7;SORT;205
7;CLEAR;0
7;GROW;95
7;SIZE;410
7;REMOVE_OBJ;0
7;ENSURE_CAP;96
7;ITERATOR;205
7;CSTR_STD;205
8;ADD_OBJ;75497
8;SET_INDEXED;24020
8;CLEAR;0
8;GROW;19
8;GET_INDEXED;37954
8;SIZE;248602
8;REMOVE_OBJ;0
8;CSTR_CAP;2861
8;ENSURE_CAP;75497
9;ADD_OBJ;75497
9;SET_INDEXED;131240
9;CLEAR;0
9;GROW;19
9;GET_INDEXED;128332
9;SIZE;2798
9;REMOVE_OBJ;0
9;CSTR_CAP;2861
9;ENSURE_CAP;75497
10;ADD_OBJ;1924
10;INDEX_OF;69
10;SET_INDEXED;0
10;CLEAR;0
10;GROW;1549
10;ADD_ALL;906
10;SIZE;4679
10;TO_ARRAY;906
10;CONTAINS;69
10;REMOVE_OBJ;0
10;ENSURE_CAP;2830
10;ITERATOR;74
10;CSTR_STD;2861
11;ADD_OBJ;178
11;SET_INDEXED;0
11;CLEAR;0
11;GROW;10
11;SIZE;179
11;TO_ARRAY;1
11;REMOVE_OBJ;0
11;ENSURE_CAP;178
11;CSTR_STD;1
12;ADD_OBJ;0
12;SET_INDEXED;0
12;CLEAR;0
12;GROW;0
12;SIZE;2803
12;REMOVE_OBJ;0
12;CSTR_STD;2861
13;ADD_OBJ;0
13;SET_INDEXED;0
13;CLEAR;0
13;GROW;0
13;SIZE;2803
13;REMOVE_OBJ;0
13;CSTR_STD;2861
14;ADD_OBJ;42
14;SET_INDEXED;0
14;SORT;73
14;CLEAR;0
14;GROW;21
14;SIZE;72
14;REMOVE_OBJ;0
14;ENSURE_CAP;42
14;ITERATOR;146
14;CSTR_STD;74
15;ADD_OBJ;4215
15;SET_INDEXED;0
15;CLEAR;0
15;GROW;293
15;SIZE;291
15;TO_ARRAY;73
15;REMOVE_OBJ;0
15;ENSURE_CAP;4215
15;EMPTY;146
15;ITERATOR;73
15;CSTR_STD;74
16;ADD_OBJ;35
16;SET_INDEXED;0
16;CLEAR;0
16;GROW;8
16;SIZE;76
16;REMOVE_OBJ;0
16;ENSURE_CAP;35
16;EMPTY;73
16;CSTR_STD;74
17;ADD_OBJ;1159
17;SET_INDEXED;0
17;CLEAR;0
17;GROW;140
17;SIZE;207
17;TO_ARRAY;45
17;REMOVE_OBJ;0
17;ENSURE_CAP;1159
17;EMPTY;146
17;ITERATOR;45
17;CSTR_STD;74
18;ADD_OBJ;0
18;SET_INDEXED;0
18;CLEAR;0
18;GROW;0
18;SIZE;72
18;REMOVE_OBJ;0
18;EMPTY;146
18;CSTR_STD;74
19;ADD_OBJ;1758
19;SET_INDEXED;0
19;CLEAR;0
19;GROW;218
19;SIZE;291
19;TO_ARRAY;73
19;REMOVE_OBJ;0
19;ENSURE_CAP;1758
19;EMPTY;146
19;ITERATOR;73
19;CSTR_STD;74
20;ADD_OBJ;814
20;SET_INDEXED;0
20;CLEAR;0
20;GROW;391
20;ADD_ALL;21
20;SIZE;279
20;TO_ARRAY;21
20;REMOVE_OBJ;0
20;ENSURE_CAP;835
20;ITERATOR;240
20;CSTR_STD;243
20;CREATE_LIST_ITR;7
21;ADD_OBJ;340
21;INDEX_OF;446
21;SET_INDEXED;0
21;CLEAR;0
21;GROW;20
21;SIZE;2420
21;CONTAINS;446
21;REMOVE_OBJ;0
21;ENSURE_CAP;340
21;CSTR_STD;2440
22;ADD_OBJ;21563
22;SET_INDEXED;12
22;CLEAR;359
22;GROW;413
22;GET_INDEXED;12960
22;SIZE;72959
22;TO_ARRAY;64
22;REMOVE_OBJ;0
22;CSTR_CAP;21484
22;ENSURE_CAP;21563
22;ITERATOR;78538
23;ADD_OBJ;8835
23;SET_INDEXED;0
23;CLEAR;0
23;GROW;2332
23;SIZE;11026
23;REMOVE_OBJ;0
23;ENSURE_CAP;8835
23;ITERATOR;612
23;CSTR_STD;1499
24;ADD_OBJ;533771
24;SET_INDEXED;0
24;CLEAR;0
24;GROW;0
24;GET_INDEXED;296981
24;SIZE;291693
24;REMOVE_OBJ;0
24;CSTR_CAP;94551
24;ENSURE_CAP;533771
24;ITERATOR;93029
24;SUBLIST;1303
24;CREATE_LIST_ITR;5738
25;ADD_OBJ;783
25;SET_INDEXED;0
25;CLEAR;0
25;GROW;161
25;SIZE;134
25;REMOVE_OBJ;0
25;CSTR_CAP;137
25;ENSURE_CAP;783
25;ITERATOR;137
26;ADD_OBJ;1574
26;SET_INDEXED;0
26;CLEAR;0
26;GROW;264
26;SIZE;134
26;REMOVE_OBJ;0
26;ENSURE_CAP;1574
26;ITERATOR;274
26;CSTR_STD;137
27;ADD_OBJ;139613
27;SET_INDEXED;0
27;CLEAR;0
27;GROW;57534
27;SIZE;65768
27;REMOVE_OBJ;0
27;ENSURE_CAP;139613
27;ITERATOR;65804
27;CSTR_STD;65832
28;ADD_OBJ;296851
28;INDEX_OF;4903
28;SET_INDEXED;5493
28;CLEAR;0
28;GROW;28990
28;GET_INDEXED;119565
28;SIZE;145444
28;REMOVE_OBJ;0
28;CSTR_CAP;65804
28;ENSURE_CAP;296851
28;ITERATOR;53281
28;CREATE_LIST_ITR;16897
29;ADD_OBJ;11045
29;SET_INDEXED;0
29;CLEAR;0
29;GROW;854
29;SIZE;205
29;REMOVE_OBJ;0
29;ENSURE_CAP;11045
29;ITERATOR;207
29;CSTR_STD;207
30;ADD_OBJ;2799
30;SET_INDEXED;0
30;CLEAR;0
30;GROW;0
30;SIZE;493
30;REMOVE_OBJ;0
30;CSTR_CAP;501
30;ENSURE_CAP;2799
30;ITERATOR;1116
31;ADD_OBJ;10559
31;SET_INDEXED;0
31;CLEAR;0
31;GROW;6250
31;GET_INDEXED;10559
31;SIZE;10002
31;REMOVE_OBJ;0
31;ENSURE_CAP;10559
31;CSTR_STD;5008
32;ADD_OBJ;33209
32;INDEX_OF;172
32;SET_INDEXED;0
32;CLEAR;0
32;GROW;15466
32;GET_INDEXED;634
32;SIZE;21045
32;CONTAINS;172
32;REMOVE_OBJ;0
32;ENSURE_CAP;33209
32;ITERATOR;18992
32;EMPTY;24
32;CSTR_STD;20262
33;ADD_OBJ;2173
33;SET_INDEXED;0
33;CLEAR;0
33;GROW;0
33;SIZE;4325
33;REMOVE_OBJ;0
33;CSTR_CAP;2160
33;ENSURE_CAP;2173
33;ITERATOR;2153
34;ADD_OBJ;12510
34;SET_INDEXED;0
34;CLEAR;0
34;GROW;477
34;SIZE;73
34;REMOVE_OBJ;0
34;ENSURE_CAP;12510
34;CSTR_STD;73
35;ADD_OBJ;12510
35;SET_INDEXED;0
35;CLEAR;0
35;GROW;477
35;SIZE;12581
35;REMOVE_OBJ;0
35;ENSURE_CAP;12510
35;CSTR_STD;73
36;ADD_OBJ;0
36;SET_INDEXED;0
36;CLEAR;0
36;GROW;0
36;SIZE;72
36;REMOVE_OBJ;0
36;ITERATOR;5503
36;CSTR_STD;73
37;ADD_OBJ;1790
37;SET_INDEXED;0
37;CLEAR;0
37;GROW;195
37;SIZE;72
37;REMOVE_OBJ;0
37;ENSURE_CAP;1790
37;CSTR_STD;73
38;ADD_OBJ;1139
38;SET_INDEXED;0
38;CLEAR;0
38;GROW;141
38;SIZE;71
38;REMOVE_OBJ;0
38;ENSURE_CAP;1139
38;ITERATOR;73
38;CSTR_STD;73
39;ADD_OBJ;188
39;SET_INDEXED;0
39;CLEAR;0
39;GROW;28
39;SIZE;72
39;REMOVE_OBJ;0
39;CSTR_CAP;73
39;ENSURE_CAP;188
39;ITERATOR;73
40;ADD_OBJ;20
40;SET_INDEXED;0
40;SORT;72
40;CLEAR;0
40;GROW;20
40;SIZE;144
40;REMOVE_OBJ;0
40;ENSURE_CAP;20
40;ITERATOR;72
40;CSTR_STD;72
41;ADD_OBJ;151
41;SET_INDEXED;0
41;SORT;288
41;CLEAR;0
41;GROW;126
41;GET_INDEXED;151
41;SIZE;1303
41;REMOVE_OBJ;0
41;ENSURE_CAP;151
41;ITERATOR;288
41;CSTR_STD;288
42;ADD_OBJ;92
42;SET_INDEXED;0
42;CLEAR;0
42;GROW;25
42;REMOVE_OBJ;0
42;ENSURE_CAP;92
42;ITERATOR;10383
42;CSTR_STD;13
43;ADD_OBJ;73432
43;REMOVE_ALL;3745
43;SET_INDEXED;58293
43;CLEAR;0
43;GROW;25795
43;GET_INDEXED;1261572
43;SIZE;510522
43;REMOVE_OBJ;0
43;ENSURE_CAP;74039
43;ITERATOR;72804
43;EMPTY;10329
43;CSTR_STD;12510
43;SUBLIST;14381
43;ADD_INDEXED;607
43;REMOVE_INDEXED;1678
44;ADD_OBJ;4221
44;SET_INDEXED;0
44;CLEAR;0
44;GROW;3281
44;SIZE;11500
44;REMOVE_OBJ;0
44;ENSURE_CAP;4221
44;CSTR_STD;5752
45;ADD_OBJ;4765
45;INDEX_OF;4896
45;SET_INDEXED;0
45;CLEAR;0
45;GROW;0
45;SIZE;2893
45;CONTAINS;4896
45;REMOVE_OBJ;0
45;CSTR_CAP;2894
45;ENSURE_CAP;4765
45;ITERATOR;1341
46;ADD_OBJ;1564
46;SET_INDEXED;0
46;CLEAR;0
46;GROW;1218
46;SIZE;4457
46;REMOVE_OBJ;0
46;ENSURE_CAP;1564
46;CSTR_STD;2230
47;ADD_OBJ;9903
47;SET_INDEXED;563
47;CLEAR;0
47;GROW;289
47;GET_INDEXED;16868
47;SIZE;49534
47;REMOVE_OBJ;0
47;ENSURE_CAP;9903
47;ITERATOR;146
47;CSTR_STD;73
48;ADD_OBJ;23121
48;SET_INDEXED;35
48;CLEAR;0
48;GROW;30
48;GET_INDEXED;47211
48;SIZE;54922
48;REMOVE_OBJ;0
48;CSTR_CAP;146
48;ENSURE_CAP;23121
48;REMOVE_INDEXED;23121
49;ADD_OBJ;23121
49;SET_INDEXED;0
49;CLEAR;0
49;GROW;30
49;GET_INDEXED;2077
49;SIZE;144
49;REMOVE_OBJ;0
49;CSTR_CAP;146
49;ENSURE_CAP;23121
49;REMOVE_INDEXED;23121
50;ADD_OBJ;23121
50;SET_INDEXED;0
50;CLEAR;0
50;GROW;30
50;GET_INDEXED;24055
50;SIZE;145
50;REMOVE_OBJ;0
50;CSTR_CAP;146
50;ENSURE_CAP;23121
50;REMOVE_INDEXED;23121
51;ADD_OBJ;24040
51;SET_INDEXED;0
51;CLEAR;8393
51;GROW;11848
51;GET_INDEXED;24040
51;SIZE;49717
51;REMOVE_OBJ;0
51;CSTR_CAP;485
51;ENSURE_CAP;24040
52;ADD_OBJ;2117
52;SET_INDEXED;0
52;CLEAR;0
52;GROW;0
52;SIZE;144
52;REMOVE_OBJ;0
52;CSTR_CAP;73
52;ENSURE_CAP;2117
53;ADD_OBJ;52362
53;SET_INDEXED;0
53;CLEAR;0
53;GROW;13788
53;SIZE;5499
53;REMOVE_OBJ;0
53;ENSURE_CAP;52362
53;ITERATOR;5503
53;CSTR_STD;5503
54;ADD_OBJ;14372
54;SET_INDEXED;0
54;CLEAR;6540
54;GROW;7104
54;GET_INDEXED;16590
54;SIZE;72
54;REMOVE_OBJ;0
54;CSTR_CAP;73
54;ENSURE_CAP;14372
55;ADD_OBJ;66
55;SET_INDEXED;0
55;CLEAR;0
55;GROW;66
55;GET_INDEXED;66
55;SIZE;130
55;REMOVE_OBJ;0
55;ENSURE_CAP;66
55;EMPTY;66
55;CSTR_STD;66
56;ADD_OBJ;5358
56;SET_INDEXED;0
56;CLEAR;0
56;GROW;80
56;GET_INDEXED;5358
56;SIZE;14609
56;REMOVE_OBJ;0
56;CSTR_CAP;4849
56;ENSURE_CAP;5358
57;ADD_OBJ;499
57;SET_INDEXED;0
57;CLEAR;0
57;GROW;0
57;REMOVE_OBJ;0
57;CSTR_CAP;26
57;ENSURE_CAP;499
57;ITERATOR;518
58;ADD_OBJ;1044
58;SET_INDEXED;0
58;CLEAR;0
58;GROW;996
